order_id,customer_id,order_date,product_category,quantity,unit_price,currency,country
ORD-42-0000034,CUST-000443,2025-12-05,sports,2,31.25,GBP,Rwanda
ORD-42-0000035,CUST-000128,2025-09-25,apparel,9,224.86,RWF,Kenya
ORD-42-0000036,CUST-000143,2025-05-10,apparel,2,222.12,KES,Rwanda
ORD-42-0000037,CUST-000026,2025-02-02,toys,1,484.53,EUR,Kenya
ORD-42-0000038,CUST-000209,2025-04-28,grocery,4,432.46,USD,Kenya
ORD-42-0000039,CUST-000195,2025-12-31,grocery,5,463.33,RWF,Ghana
ORD-42-0000040,CUST-000217,2025-01-10,sports,9,331.27,RWF,Kenya
ORD-42-0000041,CUST-000098,2025-08-03,apparel,1,290.01,KES,Rwanda
ORD-42-0000042,CUST-000383,2025-07-25,electronics,1,292.5,KES,United Kingdom
ORD-42-0000043,CUST-000081,2025-12-03,toys,2,425.82,USD,United Kingdom
ORD-42-0000044,CUST-000035,2025-01-21,apparel,7,60.82,KES,Kenya
ORD-42-0000045,CUST-000297,2025-03-03,electronics,-10,41.91,KES,United Kingdom
ORD-42-0000046,CUST-000268,2025-07-24,home,4,335.19,GBP,Kenya
ORD-42-0000047,CUST-000136,2025-06-13,apparel,5,229.16,USD,Rwanda
ORD-42-0000048,CUST-000235,2025-02-17,toys,-2,37.56,EUR,United Kingdom
ORD-42-0000049,CUST-000136,2025-10-26,home,2,439.76,GBP,Ghana
ORD-42-0000050,CUST-000081,2025-05-22,toys,5,306.23,KES,rwanda
ORD-42-0000051,CUST-000342,2025-03-24,home,2,469.53,EUR,Ghana
ORD-42-0000052,CUST-000060,2025-11-08,sports,9,78.57,GBP,United Kingdom
,CUST-000108,2025-07-10,apparel,5,253.2,GBP,Rwanda
ORD-42-0000054,CUST-000048,2025-02-11,grocery,5,23.0,GBP,Kenya
ORD-42-0000055,CUST-000327,2025-08-20,apparel,8,276.29,RWF,United Kingdom
ORD-42-0000056,CUST-000005,2025-11-05,electronics,3,273.25,GBP,United Kingdom
ORD-42-0000057,CUST-000283,2025-10-18,grocery,3,21.87,GBP,Rwanda
ORD-42-0000058,,2025-07-02,apparel,4,333.8,GBP,United Kingdom
ORD-42-0000059,CUST-000453,2025-06-07,toys,3,462.96,EUR,Kenya
ORD-42-0000060,CUST-000500,2025-10-03,grocery,1,90.5,GBP,Germany
ORD-42-0000061,CUST-000411,2025-01-24,sports,4,134.14,USD,Germany
ORD-42-0000062,CUST-000447,2025-12-13,grocery,4,100.59,RWF,GHANA
ORD-42-0000063,CUST-000157,2025-09-07,apparel,1,330.36,RWF,GHANA
ORD-42-0003619,CUST-000143,2025-11-27,home,6,321.1,RWF,United States
ORD-42-0000065,CUST-000432,2025-04-02,home,1,58.56,GBP,Kenya
ORD-42-0000066,CUST-000298,not-a-date,electronics,2,298.69,GBP,  United States  
ORD-42-0000067,CUST-000403,2025-07-25,grocery,10,492.13,USD,Germany
ORD-42-0000068,CUST-000461,2025-03-12,apparel,5,23.15,RWF,Rwanda
ORD-42-0000069,CUST-000267,2025-04-01,sports,4,182.75,USD,United States
ORD-42-0000070,CUST-000472,2025-07-16,toys,6,332.03,USD,United States
ORD-42-0000071,CUST-000461,2025-08-01,toys,5,333.78,GBP,Germany
ORD-42-0000072,CUST-000357,2025-08-03,toys,3,96.73,RWF,United States
ORD-42-0000073,CUST-000384,2025-10-04,toys,10,151.17,KES,Rwanda
ORD-42-0000074,CUST-000156,2025-08-08,apparel,7,393.09,KES,United States
ORD-42-0000075,CUST-000165,2025-05-08,grocery,8,338.14,KES,Germany
ORD-42-0004541,CUST-000407,2025-10-07,sports,2,142.61,KES,Ghana
ORD-42-0000077,CUST-000048,2025-09-03,sports,5,113.1,EUR,Kenya
ORD-42-0000078,CUST-000013,2025-12-09,apparel,8,306.03,USD,Germany
ORD-42-0000079,CUST-000213,2025-02-13,toys,4,359.45,RWF,Germany
ORD-42-0000080,CUST-000205,2025-08-30,apparel,1,446.44,USD,Germany
ORD-42-0000081,CUST-000113,2025-10-03,sports,9,232.81,KES,Kenya
ORD-42-0000082,CUST-000470,2025-10-31,grocery,3,400.91,KES,United Kingdom
ORD-42-0000083,CUST-000305,2025-07-23,grocery,10,$407.69,KES,Germany
ORD-42-0000084,CUST-000426,2025-03-27,grocery,3,372.08,RWF,Germany
ORD-42-0000085,CUST-000133,2025-08-28,sports,5,383.14,KES,Germany
ORD-42-0000086,CUST-000321,2025-09-01,home,8,39.66,GBP,Kenya
ORD-42-0000087,CUST-000140,2025-07-14,home,9,41.21,EUR,Kenya
ORD-42-0000088,CUST-000197,2025-01-11,apparel,4,33.05,RWF,Ghana
ORD-42-0000089,CUST-000278,2025-05-08,grocery,1,104.21,RWF,Germany
ORD-42-0000090,CUST-000464,2025-03-08,sports,1,428.51,KES,Germany
ORD-42-0000091,CUST-000245,2025-12-29,home,5,376.98,RWF,United Kingdom
ORD-42-0000092,CUST-000383,2025-03-28,toys,4,244.63,GBP,Germany
ORD-42-0000093,CUST-000249,2025-12-18,grocery,6,334.77,RWF,United States
ORD-42-0000094,,2025-05-07,apparel,10,267.53,RWF,United Kingdom
ORD-42-0000095,CUST-000289,2025-01-27,electronics,2,321.73,EUR,Germany
ORD-42-0000096,CUST-000094,2025-12-07,home,7,164.35,RWF,Ghana
ORD-42-0000097,CUST-000173,2025-06-21,home,7,126.88,USD,Germany
ORD-42-0000098,CUST-000010,2025-03-31,electronics,6,112.89,USD,United States
ORD-42-0000099,CUST-000021,2025-12-17,apparel,4,419.78,KES,Kenya
ORD-42-0000100,CUST-000123,2025-10-29,grocery,2,$282.42,EUR,Germany
ORD-42-0000101,CUST-000359,2025-08-23,home,3,303.34,USD,Kenya
ORD-42-0000102,CUST-000494,2025-07-26,electronics,10,13.81,GBP,United Kingdom
ORD-42-0000103,CUST-000347,2025-06-23,grocery,4,$38.92,EUR,Rwanda
ORD-42-0000104,CUST-000357,2025-07-31,sports,10,402.96,KES,Rwanda
ORD-42-0000105,CUST-000178,2025-04-04,grocery,6,35.41,GBP,Rwanda
ORD-42-0000106,CUST-000435,2025-05-31,grocery,2,217.33,GBP,United States
ORD-42-0000107,CUST-000457,2025-05-11,sports,3,218.31,KES,United States
ORD-42-0000108,CUST-000139,2025-02-20,toys,8,232.97,KES,Ghana
ORD-42-0000109,CUST-000166,2025-08-29,electronics,5,440.93,EUR,Germany
ORD-42-0000110,CUST-000292,2025-02-23,sports,7,168.86,RWF,Ghana
ORD-42-0000111,CUST-000094,2025-04-27,apparel,6,399.12,GBP,Ghana
ORD-42-0000112,CUST-000451,2025-03-02,sports,5,"278,34",KES,Kenya
ORD-42-0000113,CUST-000044,2025-08-31,sports,7,244.8,EUR,United States
ORD-42-0000114,CUST-000244,not-a-date,sports,8,224.64,USD,Rwanda
ORD-42-0000115,CUST-000151,2025-09-10,grocery,4,$153.80,KES,Ghana
ORD-42-0000116,CUST-000243,2025-03-24,toys,6,213.33,KES,Ghana
ORD-42-0000117,CUST-000181,2025-01-07,grocery,5,154.0,EUR,Rwanda
ORD-42-0000118,CUST-000370,2025-09-25,home,2,371.7,EUR,Kenya
ORD-42-0000119,CUST-000111,2025-04-29,home,10,488.33,KES,United Kingdom
ORD-42-0001469,CUST-000145,2025-11-11,apparel,5,114.51,EUR,Ghana
ORD-42-0000121,CUST-000008,2025-01-04,unobtainium,3,137.88,USD,United Kingdom
ORD-42-0000122,CUST-000150,2025-01-09,apparel,8,52.19,USD,United Kingdom
ORD-42-0000123,CUST-000146,2025-05-06,grocery,8,171.01,USD,Ghana
ORD-42-0000124,CUST-000482,2025-05-02,electronics,2,200.95,USD,United Kingdom
ORD-42-0000125,CUST-000323,2033-01-12,electronics,3,75.45,KES,Ghana
ORD-42-0000126,CUST-000044,2025-08-27,electronics,9,382.46,KES,United Kingdom
ORD-42-0000127,CUST-000405,2025-02-19,apparel,9,190.81,RWF,Ghana
ORD-42-0000128,CUST-000441,2025-03-06,grocery,5,284.75,USD,United Kingdom
ORD-42-0000129,CUST-000492,2025-11-12,unobtainium,4,133.06,USD,Kenya
ORD-42-0000130,CUST-000123,2025-10-05,toys,2,79.11,RWF,Germany
ORD-42-0000131,CUST-000353,2025-03-03,grocery,5,17.29,GBP,United States
ORD-42-0000132,CUST-000145,2025-01-07,grocery,2,344.01,GBP,United States
ORD-42-0000133,CUST-000302,2025-01-28,apparel,7,58.27,EUR,United States
ORD-42-0000134,CUST-000077,2025-08-18,apparel,2,30.76,GBP,United Kingdom
ORD-42-0000135,CUST-000384,2025-03-16,home,8,63.05,GBP,United States
ORD-42-0000136,CUST-000207,2025-08-15,  toys  ,9,247.4,USD,United Kingdom
ORD-42-0000137,CUST-000021,2025-05-25,sports,6,302.25,USD,Rwanda
ORD-42-0000138,CUST-000118,2025-01-21,toys,10,475.44,GBP,United Kingdom
ORD-42-0000139,CUST-000021,2025-10-04,grocery,9,326.1,GBP,Kenya
ORD-42-0000140,CUST-000300,2025-05-23,sports,8,484.56,RWF,Ghana
ORD-42-0000141,CUST-000210,2025-07-15,home,2,$429.01,GBP,Germany
ORD-42-0000142,CUST-000356,2025-04-23,home,7,406.97,KES,Rwanda
ORD-42-0000143,CUST-000233,2025-11-17,home,5,162.31,RWF,United Kingdom
ORD-42-0000144,CUST-000423,2026-01-01,sports,9,231.53,USD,Kenya
ORD-42-0000145,CUST-000266,2025-06-30,toys,8,313.08,USD,Kenya
ORD-42-0000146,CUST-000137,2025-03-26,apparel,5,219.62,RWF,Rwanda
ORD-42-0000147,CUST-000015,2025-02-13,toys,4,355.18,GBP,United Kingdom
ORD-42-0000148,CUST-000008,2025-03-25,grocery,2,113.13,USD,Germany
ORD-42-0000149,CUST-000485,2025-11-02,sports,3,249.69,GBP,United Kingdom
ORD-42-0000150,CUST-000362,2025-08-15,grocery,8,490.14,EUR,Germany
ORD-42-0000151,CUST-000283,2025-10-19,grocery,4,461.01,KES,United States
ORD-42-0000152,CUST-000451,2025-10-24,electronics,5,386.56,RWF,Ghana
ORD-42-0000153,CUST-000479,2025-04-17,home,1,142.14,GBP,UNITED KINGDOM
ORD-42-0000154,CUST-000297,2025-01-29,grocery,3,223.83,RWF,Ghana
ORD-42-0000155,CUST-000171,2025-03-25,toys,7,228.22,GBP,Kenya
ORD-42-0000156,CUST-000358,2025-09-01,toys,7,117.55,RWF,Rwanda
ORD-42-0000157,CUST-000163,2025-05-04,sports,7,193.65,EUR,Germany
ORD-42-0000158,CUST-000494,2025-12-14,apparel,9,$482.71,GBP,Rwanda
ORD-42-0000159,,2025-05-21,electronics,9,455.31,USD,United States
ORD-42-0000160,CUST-000074,2025-06-06,sports,-3,38.34,GBP,Ghana
ORD-42-0000161,CUST-000320,2025-01-12,grocery,2,426.03,KES,Germany
ORD-42-0000162,CUST-000489,2025-07-23,sports,8,436.32,USD,United Kingdom
ORD-42-0000163,CUST-000036,2025-09-03,sports,5,498.72,USD,Germany
ORD-42-0000164,CUST-000051,2025-02-11,sports,2,222.4,GBP,Rwanda
ORD-42-0000165,CUST-000024,2025-07-19,electronics,5,179.87,RWF,Kenya
ORD-42-0000166,CUST-000126,2025-04-05,grocery,10,$341.22,EUR,Kenya
ORD-42-0000167,CUST-000090,2025-11-22,toys,7,310.24,EUR,Germany
ORD-42-0000168,CUST-000468,2025-03-09,apparel,4,231.11,GBP,Germany
ORD-42-0000169,CUST-000131,2025-01-25,electronics,8,"450,70",KES,Kenya
ORD-42-0000170,CUST-000038,2025-05-20,home,10,150.28,RWF,united states
ORD-42-0000171,CUST-000129,2025-05-13,home,4,499.69,RWF,Rwanda
ORD-42-0000172,,2025-06-20,toys,6,287.83,GBP,Rwanda
ORD-42-0000173,CUST-000425,2025-01-29,grocery,5,5.04,USD,United Kingdom
ORD-42-0000174,CUST-000382,2025-04-22,unobtainium,4,303.93,GBP,Kenya
ORD-42-0000175,CUST-000326,2025-09-26,toys,5,339.2,EUR,United States
ORD-42-0000176,CUST-000050,2025-02-14,sports,1,155.16,RWF,Rwanda
ORD-42-0000177,CUST-000297,2025-06-29,sports,3,45.98,GBP,Ghana
ORD-42-0000178,CUST-000383,2025-06-03,apparel,4,66.95,KES,
ORD-42-0000179,CUST-000272,not-a-date,home,3,129.23,RWF,Ghana
ORD-42-0000180,CUST-000383,2025-07-12,electronics,8,481.48,EUR,Kenya
ORD-42-0000181,CUST-000441,2025-01-20,sports,7,483.67,KES,Ghana
ORD-42-0000182,CUST-000047,2025-06-13,electronics,5,268.75,RWF,Ghana
ORD-42-0000183,CUST-000345,2025-01-22,home,10,191.13,GBP,Rwanda
ORD-42-0000184,CUST-000346,2025-09-04,grocery,1,310.15,KES,Ghana
ORD-42-0000185,CUST-000469,2025-02-23,apparel,2,318.07,RWF,United States
ORD-42-0000186,CUST-000155,2025-02-03,grocery,2,70.75,USD,
ORD-42-0000187,CUST-000253,2025-11-03,electronics,4,443.74,EUR,Germany
ORD-42-0000188,CUST-000233,2025-06-26,sports,9,210.14,EUR,Germany
ORD-42-0000189,CUST-000336,2025-11-12,grocery,10,204.65,GBP,  Rwanda  
ORD-42-0000190,CUST-000354,2025-06-26,apparel,8,222.9,EUR,Ghana
ORD-42-0000191,CUST-000051,2025-01-15,home,9,450.95,GBP,Rwanda
ORD-42-0000192,CUST-000204,2025-08-13,apparel,2,474.56,RWF,Rwanda
ORD-42-0000193,CUST-000340,2025-09-15,sports,10,485.58,USD,Ghana
ORD-42-0000194,CUST-000125,2025-10-29,toys,4,35.24,KES,Kenya
ORD-42-0000195,CUST-000301,2025-09-13,apparel,6,387.41,KES,Rwanda
ORD-42-0000196,CUST-000142,2025-10-19,apparel,9,126.08,EUR,Rwanda
ORD-42-0000197,CUST-000339,2025-12-19,apparel,1,179.76,EUR,United Kingdom
ORD-42-0000198,CUST-000166,2025-12-24,apparel,5,27.15,RWF,United Kingdom
ORD-42-0000199,CUST-000059,2025-11-30,grocery,8,389.23,KES,United Kingdom
ORD-42-0000200,CUST-000056,2025-05-15,toys,4,472.76,USD,United States
ORD-42-0000201,CUST-000402,2025-01-29,toys,5,229.56,USD,Rwanda
ORD-42-0000202,CUST-000246,2025-06-10,grocery,2,245.64,RWF,Rwanda
ORD-42-0000203,CUST-000461,2025-11-21,home,10,75.02,EUR,Ghana
,CUST-000320,2025-02-11,toys,9,356.36,RWF,United Kingdom
ORD-42-0000205,CUST-000272,not-a-date,grocery,9,303.11,USD,United States
ORD-42-0000206,CUST-000059,2025-01-31,sports,9,360.7,EUR,Germany
ORD-42-0000207,CUST-000232,2025-09-07,grocery,6,413.88,RWF,Germany
ORD-42-0000208,CUST-000374,2025-11-14,home,7,156.95,GBP,Ghana
ORD-42-0000209,CUST-000489,2025-10-15,sports,8,34.5,USD,Rwanda
ORD-42-0000210,CUST-000222,2025-11-13,sports,6,$406.07,KES,Rwanda
ORD-42-0000211,CUST-000301,2025-03-20,unobtainium,6,"335,34",RWF,Ghana
ORD-42-0000212,CUST-000448,2025-01-26,  grocery  ,1,484.23,KES,Ghana
ORD-42-0000213,CUST-000181,2025-11-09,toys,9,107.16,RWF,Kenya
ORD-42-0000214,CUST-000434,2025-11-07,home,9,184.41,GBP,United Kingdom
ORD-42-0000215,CUST-000116,2025-05-27,  toys  ,10,307.17,KES,RWANDA
ORD-42-0000216,CUST-000312,2025-01-30,sports,5,15.45,GBP,United States
,CUST-000391,2025-07-27,home,6,4.05,EUR,United Kingdom
ORD-42-0000218,CUST-000337,2025-06-10,electronics,3,370.74,USD,Rwanda
ORD-42-0000219,CUST-000383,2025-04-05,apparel,7,210.5,GBP,Kenya
ORD-42-0000220,CUST-000190,2025-07-26,sports,-6,388.64,KES,United Kingdom
ORD-42-0000221,CUST-000044,2025-12-06,apparel,3,377.46,USD,United States
ORD-42-0000222,CUST-000042,2025-08-15,grocery,7,$243.35,RWF,Germany
ORD-42-0000223,CUST-000140,2025-09-13,toys,2,173.24,USD,Ghana
ORD-42-0000224,CUST-000348,2025-01-19,toys,8,263.94,GBP,Rwanda
ORD-42-0000225,CUST-000113,2025-06-13,toys,1,4.84,GBP,Kenya
ORD-42-0000226,CUST-000393,2025-10-23,home,5,164.73,USD,Germany
ORD-42-0000227,CUST-000383,2025-05-26,apparel,3,190.72,EUR,United Kingdom
ORD-42-0000228,CUST-000287,2025-01-24,home,2,199.14,USD,Germany
ORD-42-0000229,CUST-000010,2025-05-11,electronics,6,288.3,KES,Germany
ORD-42-0000230,CUST-000364,2025-02-08,grocery,5,58.47,USD,Ghana
ORD-42-0000231,CUST-000088,2025-02-19,grocery,6,44.98,USD,Kenya
ORD-42-0000232,  CUST-000224  ,2025-03-06,grocery,9,40.24,GBP,United States
ORD-42-0000233,CUST-000174,2025-09-10,home,3,39.11,USD,United Kingdom
ORD-42-0000234,CUST-000262,2025-09-24,home,6,363.96,EUR,Kenya
ORD-42-0000235,CUST-000053,2025-10-19,home,4,$87.58,EUR,United States
ORD-42-0000236,CUST-000039,2025-10-03,sports,8,"232,51",KES,United Kingdom
ORD-42-0000237,CUST-000230,2028-11-20,toys,-10,162.28,GBP,KENYA
ORD-42-0000238,CUST-000226,2025-11-28,grocery,8,316.06,GBP,United Kingdom
ORD-42-0000239,CUST-000029,2025-07-05,toys,2,155.89,RWF,Rwanda
ORD-42-0000240,CUST-000030,2025-06-27,home,2,322.69,USD,United Kingdom
ORD-42-0000241,CUST-000305,2025-04-17,grocery,8,290.58,USD,Germany
ORD-42-0000242,CUST-000466,2025-03-15,sports,4,161.44,RWF,United Kingdom
ORD-42-0000243,CUST-000078,2025-12-01,grocery,2,405.67,GBP,United States
,CUST-000044,2025-04-18,sports,3,20.53,RWF,Germany
ORD-42-0000245,CUST-000269,2025-04-09,toys,3,182.59,GBP,Germany
ORD-42-0000246,CUST-000210,2025-07-12,sports,10,27.13,GBP,Rwanda
ORD-42-0000247,CUST-000169,2025-11-14,toys,7,142.79,KES,Kenya
ORD-42-0000248,CUST-000171,2025-11-21,  toys  ,3,458.46,GBP,United States
ORD-42-0000249,CUST-000358,2025-01-27,grocery,3,297.93,USD,Ghana
ORD-42-0000250,CUST-000287,2025-06-23,sports,6,406.78,KES,Rwanda
ORD-42-0000251,CUST-000331,2025-01-23,grocery,9,181.55,GBP,ghana
ORD-42-0000252,CUST-000093,2025-09-14,home,8,96.81,EUR,Kenya
ORD-42-0000253,CUST-000040,2025-08-03,electronics,9,385.67,KES,Rwanda
ORD-42-0000254,CUST-000339,2025-07-13,toys,3,$299.03,EUR,Kenya
ORD-42-0000255,CUST-000093,2025-01-12,unobtainium,3,360.87,USD,Germany
ORD-42-0000256,CUST-000187,2025-01-20,sports,4,484.82,KES,Ghana
ORD-42-0004140,CUST-000386,2025-05-17,apparel,9,120.35,RWF,Kenya
ORD-42-0000258,CUST-000189,2025-01-19,toys,8,231.38,GBP,Germany
ORD-42-0000259,CUST-000258,2025-04-06,grocery,3,408.63,KES,
,CUST-000447,2025-08-26,electronics,8,437.18,KES,Rwanda
ORD-42-0000261,CUST-000365,2025-04-12,electronics,5,42.85,EUR,Ghana
,CUST-000231,2025-04-14,apparel,7,46.77,EUR,Germany
ORD-42-0000263,CUST-000453,2025-07-07,electronics,7,27.58,KES,Ghana
ORD-42-0000264,CUST-000121,2025-06-18,electronics,6,113.04,GBP,Rwanda
ORD-42-0000265,CUST-000430,2025-01-01,sports,6,395.9,EUR,Rwanda
ORD-42-0000266,CUST-000147,2025-05-05,sports,3,379.66,RWF,Germany
ORD-42-0000267,CUST-000316,2025-12-30,electronics,1,$128.71,EUR,United Kingdom
ORD-42-0000268,CUST-000482,2025-02-24,unobtainium,7,56.48,GBP,Kenya
ORD-42-0000269,CUST-000155,2025-10-31,electronics,4,210.49,KES,Germany
ORD-42-0000270,CUST-000033,2025-11-06,grocery,10,268.49,KES,United Kingdom
ORD-42-0000271,CUST-000124,2025-10-20,home,7,1.78,GBP,Kenya
ORD-42-0000272,CUST-000293,2025-06-02,apparel,2,262.22,GBP,Rwanda
ORD-42-0000273,CUST-000489,not-a-date,toys,9,393.42,KES,United Kingdom
ORD-42-0000274,CUST-000011,2025-06-16,grocery,1,318.2,GBP,Ghana
ORD-42-0000275,CUST-000383,2025-12-24,home,2,173.06,USD,United Kingdom
ORD-42-0000276,CUST-000377,2025-07-15,apparel,1,176.8,GBP,United States
ORD-42-0000277,CUST-000090,2025-01-16,grocery,8,316.24,EUR,Rwanda
ORD-42-0000278,CUST-000367,2025-05-12,electronics,5,101.59,EUR,Rwanda
ORD-42-0000279,CUST-000162,2025-07-27,toys,7,494.57,KES,Germany
ORD-42-0000280,CUST-000130,2025-12-14,sports,4,143.77,USD,United States
ORD-42-0000281,CUST-000170,2025-08-15,electronics,6,219.04,RWF,United States
ORD-42-0000282,CUST-000226,2025-06-18,home,3,248.61,RWF,Ghana
ORD-42-0000283,CUST-000474,2025-04-11,home,2,363.81,USD,Germany
ORD-42-0000284,CUST-000309,2025-10-01,toys,5,161.28,USD,Ghana
ORD-42-0000285,CUST-000339,2025-08-03,home,8,301.71,RWF,Kenya
ORD-42-0000286,CUST-000354,2025-05-19,home,8,22.14,GBP,United Kingdom
ORD-42-0000287,CUST-000223,2025-08-14,sports,1,38.45,RWF,Ghana
ORD-42-0000288,CUST-000263,2025-01-19,apparel,1,72.25,KES,United States
ORD-42-0000289,CUST-000401,2025-05-22,electronics,3,34.55,GBP,Ghana
ORD-42-0000290,CUST-000197,2025-03-17,electronics,10,77.57,RWF,Ghana
ORD-42-0000291,CUST-000191,2025-05-19,electronics,10,69.71,GBP,Germany
ORD-42-0000292,CUST-000161,2025-02-03,home,4,480.3,USD,United States
ORD-42-0000293,CUST-000096,2025-04-21,toys,7,456.86,USD,Ghana
ORD-42-0000294,CUST-000397,2029-04-23,sports,8,108.07,KES,Ghana
ORD-42-0000295,CUST-000356,2025-04-25,apparel,2,68.73,USD,Germany
ORD-42-0000296,CUST-000089,2025-01-01,grocery,2,405.45,GBP,United States
ORD-42-0000297,CUST-000178,2025-01-03,electronics,9,271.54,GBP,Kenya
ORD-42-0000298,CUST-000365,2025-01-03,sports,3,397.05,KES,Kenya
ORD-42-0000299,CUST-000063,2025-09-21,apparel,4,395.4,USD,Ghana
ORD-42-0000300,CUST-000284,2025-03-14,home,8,"402,03",KES,Kenya
ORD-42-0000301,CUST-000314,2025-11-18,electronics,5,199.68,RWF,United Kingdom
ORD-42-0000302,CUST-000211,2025-06-06,toys,2,63.54,GBP,United States
ORD-42-0000303,CUST-000038,2032-06-06,grocery,9,172.91,KES,United States
ORD-42-0000304,CUST-000301,not-a-date,apparel,7,251.93,USD,Rwanda
ORD-42-0000305,CUST-000266,2025-10-15,home,3,81.82,EUR,Ghana
ORD-42-0000306,CUST-000486,2025-04-11,home,2,126.05,KES,Ghana
ORD-42-0000307,CUST-000065,2025-02-15,home,10,267.21,KES,United States
ORD-42-0000308,CUST-000087,2025-03-04,toys,3,86.43,KES,united states
ORD-42-0000309,CUST-000462,2025-02-26,home,10,21.56,USD,Rwanda
ORD-42-0000310,CUST-000024,2025-02-07,toys,5,325.91,KES,Germany
ORD-42-0000311,CUST-000317,2025-02-08,electronics,8,444.61,KES,Ghana
ORD-42-0000312,CUST-000329,2025-07-31,grocery,4,402.54,RWF,Ghana
ORD-42-0000313,CUST-000233,2025-11-25,sports,1,79.88,RWF,Germany
ORD-42-0000314,CUST-000238,2025-09-19,home,10,72.69,GBP,United States
ORD-42-0000315,CUST-000441,2025-07-09,grocery,3,380.57,KES,United Kingdom
ORD-42-0000316,CUST-000055,2025-07-22,apparel,8,62.14,RWF,Kenya
ORD-42-0000317,CUST-000073,2025-11-13,electronics,5,472.75,KES,Germany
ORD-42-0000318,  CUST-000128  ,2025-10-12,home,10,360.84,EUR,Kenya
ORD-42-0000319,CUST-000256,2025-04-13,grocery,8,439.66,RWF,Rwanda
ORD-42-0000320,CUST-000047,2025-06-14,toys,8,483.38,EUR,UNITED KINGDOM
ORD-42-0000321,CUST-000181,2025-12-08,electronics,5,247.95,RWF,Ghana
ORD-42-0000322,CUST-000275,not-a-date,electronics,7,67.83,GBP,United States
ORD-42-0000323,CUST-000188,2025-06-09,home,1,200.89,KES,United Kingdom
ORD-42-0000324,CUST-000100,2025-06-30,toys,5,37.69,KES,Germany
ORD-42-0003572,CUST-000392,2025-03-26,home,10,340.52,USD,Kenya
ORD-42-0000326,CUST-000500,2025-11-13,grocery,6,"397,65",GBP,United Kingdom
ORD-42-0000327,CUST-000481,2025-06-28,apparel,4,301.63,RWF,United Kingdom
ORD-42-0000328,CUST-000021,2025-12-09,electronics,3,357.08,RWF,United Kingdom
ORD-42-0000329,CUST-000234,2025-10-17,toys,9,"70,75",KES,  Ghana  
ORD-42-0000330,CUST-000084,2025-06-14,toys,5,297.27,KES,United Kingdom
ORD-42-0000331,CUST-000273,2025-04-26,sports,10,150.6,USD,Ghana
